WA,2006,8,651.977272727
WA,2002,5,525.522727273
WA,2002,4,474.522727273
WA,2002,7,671.181818182
WA,2002,6,617.0
WA,2002,1,362.522727273
WA,2002,3,387.772727273
WA,2002,2,376.909090909
WA,2002,9,591.545454545
WA,2002,8,648.181818182
WA,1930,10,470.5
WA,1930,11,386.272727273
WA,1930,12,338.431818182
WA,1968,1,343.227272727
WA,2000,9,582.204545455
WA,2000,8,642.659090909
WA,1968,5,543.863636364
WA,1968,4,456.659090909
WA,1968,7,667.931818182
WA,1968,6,595.590909091
WA,2000,3,422.977272727
WA,2000,2,383.75
WA,2000,1,339.340909091
WA,2000,7,648.590909091
WA,2000,6,604.704545455
WA,2000,5,539.409090909
WA,2000,4,502.840909091
WA,1945,10,507.795454545
WA,1945,11,385.136363636
WA,1945,12,339.431818182
WA,1980,7,647.704545455
WA,1980,6,575.181818182
WA,1980,5,544.409090909
WA,1980,4,506.704545455
WA,1980,3,413.431818182
WA,1980,2,375.113636364
WA,1980,1,274.727272727
WA,1980,9,586.25
WA,1980,8,619.5
WA,2003,4,478.022727273
WA,1925,12,393.295454545
WA,1925,10,480.363636364
WA,1949,9,598.931818182
WA,1949,6,590.613636364
WA,1949,7,634.75
WA,1949,4,494.090909091
WA,1949,5,570.045454545
WA,1949,2,312.636363636
WA,1949,3,416.25
WA,1949,1,197.818181818
WA,1964,9,561.704545455
WA,1964,8,615.545454545
WA,1964,5,519.113636364
WA,1964,4,452.227272727
WA,1964,7,639.772727273
WA,1964,6,586.045454545
WA,1964,1,355.818181818
WA,1964,3,402.340909091
WA,1964,2,366.181818182
WA,1949,8,640.590909091
WA,1923,8,662.045454545
WA,1923,9,596.772727273
WA,1923,6,592.181818182
WA,1923,7,660.113636364
WA,1923,4,488.977272727
WA,1925,11,394.795454545
WA,1923,2,299.795454545
WA,1923,3,407.977272727
WA,1923,1,345.931818182
WA,1961,4,468.340909091
WA,1961,5,538.045454545
WA,1961,6,637.318181818
WA,1961,7,673.590909091
WA,1961,1,365.386363636
WA,1961,2,410.272727273
WA,1961,3,428.772727273
WA,1961,8,683.818181818
WA,1961,9,559.431818182
WA,1926,7,672.795454545
WA,1926,6,625.590909091
WA,1926,5,544.340909091
WA,1926,4,531.590909091
WA,1926,3,464.318181818
WA,1926,2,414.386363636
WA,1926,1,343.863636364
WA,1926,9,541.954545455
WA,1926,8,640.818181818
WA,1912,2,384.181818182
WA,1927,10,498.159090909
WA,1927,11,409.727272727
WA,1994,11,368.590909091
WA,1927,12,287.0
WA,1974,12,375.931818182
WA,1922,12,284.772727273
WA,1922,11,374.0
WA,1922,10,509.181818182
WA,1906,9,581.704545455
WA,1956,12,352.0
WA,1906,5,540.090909091
WA,1906,4,513.318181818
WA,1906,7,699.613636364
WA,1906,6,573.5
WA,1906,1,346.340909091
WA,1906,3,400.227272727
WA,1906,2,382.204545455
WA,1907,12,363.568181818
WA,1907,10,527.477272727
WA,1907,11,427.613636364
WA,1957,6,606.886363636
WA,1957,5,576.977272727
WA,1917,10,503.590909091
WA,1943,8,629.522727273
WA,1943,9,608.681818182
WA,1943,1,259.136363636
WA,1943,2,372.636363636
WA,1943,3,391.681818182
WA,1943,4,501.090909091
WA,1943,5,516.772727273
WA,1943,6,575.0
WA,1943,7,648.340909091
WA,1960,11,397.681818182
WA,1960,10,505.545454545
WA,1960,12,331.568181818
WA,1986,11,406.954545455
WA,1986,10,512.136363636
WA,1986,12,345.113636364
WA,1900,9,567.659090909
WA,1900,8,612.5
WA,1900,7,647.590909091
WA,1900,6,617.795454545
WA,1900,5,548.840909091
WA,1900,4,498.431818182
WA,1900,3,458.136363636
WA,1900,2,353.636363636
WA,1900,1,376.204545455
WA,1948,12,286.681818182
WA,1991,7,659.045454545
WA,1991,6,571.818181818
WA,1923,5,536.590909091
WA,1982,11,367.568181818
WA,1982,10,489.090909091
WA,1982,12,338.363636364
WA,1955,5,501.931818182
WA,1955,4,428.227272727
WA,1955,7,618.795454545
WA,1955,6,594.977272727
WA,1955,1,329.772727273
WA,1955,3,355.863636364
WA,1955,2,339.545454545
WA,1955,9,575.681818182
WA,1955,8,629.681818182
WA,1992,8,662.454545455
WA,1992,9,572.931818182
WA,1992,6,648.909090909
WA,1992,7,657.181818182
WA,1992,4,507.25
WA,1992,5,579.204545455
WA,1992,2,425.909090909
WA,1992,3,474.022727273
WA,1992,1,381.159090909
WA,1967,10,503.045454545
WA,1967,11,411.022727273
WA,1967,12,341.681818182
WA,1952,10,536.477272727
WA,1952,11,368.181818182
WA,1952,12,359.431818182
WA,1951,1,322.090909091
WA,2010,5,514.318181818
WA,1951,3,369.136363636
WA,1951,2,356.909090909
WA,1951,5,543.727272727
WA,1951,4,486.477272727
WA,1951,7,657.181818182
WA,1951,6,604.818181818
WA,1951,9,591.204545455
WA,1951,8,637.636363636
WA,2010,8,647.909090909
WA,2010,9,590.431818182
WA,1978,8,640.477272727
WA,1978,9,568.431818182
WA,1978,2,392.772727273
WA,1978,3,444.454545455
WA,1978,1,349.136363636
WA,1978,6,623.340909091
WA,1978,7,656.636363636
WA,1978,4,477.386363636
WA,1978,5,524.181818182
WA,1935,12,355.090909091
WA,1935,11,362.409090909
WA,1935,10,478.318181818
WA,1964,11,378.931818182
WA,1964,10,497.659090909
WA,1964,12,302.477272727
WA,2004,12,374.159090909
WA,2004,11,409.045454545
WA,2004,10,512.363636364
WA,1994,8,662.545454545
WA,1994,9,620.909090909
WA,1994,4,508.204545455
WA,1994,5,564.636363636
WA,1994,6,595.681818182
WA,1994,7,678.704545455
WA,1994,1,397.204545455
WA,1994,2,350.704545455
WA,1994,3,450.136363636
WA,1918,12,350.022727273
WA,1918,10,512.954545455
WA,1918,11,402.863636364
WA,1990,1,378.545454545
WA,1990,2,350.659090909
WA,1990,3,440.204545455
WA,1990,4,511.340909091
WA,1990,5,535.613636364
WA,1990,6,597.954545455
WA,1990,7,681.022727273
WA,1990,8,669.045454545
WA,1990,9,628.295454545
WA,1971,9,553.136363636
WA,1971,8,682.340909091
WA,1971,7,655.295454545
WA,1971,6,563.204545455
WA,1971,5,550.068181818
WA,1971,4,461.318181818
WA,1971,3,377.659090909
WA,1971,2,374.818181818
WA,1971,1,342.681818182
WA,1974,6,612.840909091
WA,1974,7,635.818181818
WA,1974,4,474.409090909
WA,1974,5,508.931818182
WA,1974,2,387.431818182
WA,1974,3,414.5
WA,1974,1,307.0
WA,1974,8,652.75
WA,1974,9,612.25
WA,1895,12,109.977272727
WA,1895,10,262.022727273
WA,1932,1,301.045454545
WA,1932,2,332.954545455
WA,1932,3,415.977272727
WA,1932,4,489.090909091
WA,1932,5,534.0
WA,1932,6,615.772727273
WA,1932,7,621.636363636
WA,1932,8,640.068181818
WA,1932,9,586.227272727
WA,1990,12,279.75
WA,1896,2,396.704545455
WA,1990,10,475.681818182
WA,1990,11,426.590909091
WA,1896,7,679.613636364
WA,1896,6,601.090909091
WA,1896,5,508.068181818
WA,1896,4,449.068181818
WA,1896,9,561.613636364
WA,1896,8,163.068181818
WA,1970,2,402.818181818
WA,1970,3,416.272727273
WA,1993,11,359.0
WA,1993,10,519.204545455
WA,1970,6,630.022727273
WA,1970,7,661.113636364
WA,1970,4,442.340909091
WA,1970,5,536.363636364
WA,1970,8,648.181818182
WA,1970,9,548.954545455
WA,1998,8,674.909090909
WA,1998,9,628.090909091
WA,1913,12,347.477272727
WA,1913,11,411.818181818
WA,1998,3,442.204545455
WA,1998,4,484.113636364
WA,1998,5,552.431818182
WA,1998,6,608.795454545
WA,1998,7,695.931818182
WA,1936,8,654.159090909
WA,1936,9,574.522727273
WA,1936,4,505.5
WA,1936,5,577.477272727
WA,1936,6,614.431818182
WA,1936,7,652.340909091
WA,1959,11,377.909090909
WA,1936,1,349.590909091
WA,1936,2,238.454545455
WA,1936,3,397.431818182
WA,1916,2,344.75
WA,1916,3,412.363636364
WA,1916,1,204.659090909
WA,1916,6,585.340909091
WA,1916,7,617.477272727
WA,1916,4,480.363636364
WA,1916,5,508.090909091
WA,1916,8,643.613636364
WA,1916,9,577.090909091
WA,1912,6,611.386363636
WA,1912,7,639.386363636
WA,1912,4,472.727272727
WA,1912,5,555.454545455
WA,1994,12,352.409090909
WA,1912,3,396.522727273
WA,1994,10,490.181818182
WA,1912,1,314.659090909
WA,1956,10,476.409090909
WA,1956,11,374.636363636
WA,1912,8,618.613636364
WA,1912,9,560.659090909
WA,1957,9,616.931818182
WA,1957,8,619.272727273
